Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Gabon,2026-05-31,49069,,307,,Upper middle income,African Region,2341179,,20959.0979587635,131.130511592663,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Laos,2026-05-31,219060,,671,,Lower middle income,Western Pacific Region,7425057,,29502.8038168596,90.3696766233579,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Iceland,2026-05-31,211291,,186,,High income,European Region,370335,,570540.186587819,502.247964680627,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
South Korea,2026-05-31,34571873,,35934,,High income,Western Pacific Region,51830139,,667022.579275738,693.303176362309,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Guadeloupe,2026-05-31,203235,,1021,,,,396051,,513153.609004901,2577.95081946517,,,18765246,113264,0,0,,,,,1310974,4286,0,0,,,,
Liberia,2026-05-31,7932,,294,,Low income,African Region,5193416,,1527.31843549602,56.6101386832867,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Italy,2026-05-31,26969913,,198523,,High income,European Region,59240329,,455262.714695592,3351.14614235178,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Kuwait,2026-05-31,667290,,2570,,High income,Eastern Mediterranean Region,4250114,,157005.200331097,604.689662441996,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Guinea-Bissau,2026-05-31,9614,,177,,Low income,African Region,2060721,,4665.35741616648,85.8922678033562,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Kenya,2026-05-31,344162,,5689,,Lower middle income,African Region,53005614,,6492.93488044493,107.328253946837,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Libya,2026-05-31,507269,,6437,,Upper middle income,Eastern Mediterranean Region,6735277,,75315.2394474645,955.714219326095,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Morocco,2026-05-31,1279115,,16305,,Lower middle income,Eastern Mediterranean Region,37076584,,34499.2677858349,439.765432543624,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
