Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
French Guiana,2025-12-07,98041,,413,,,,297449,,329606.083732001,1388.47331811504,,,18765230,113264,1,0,,,,,1310969,4286,0,0,,,,
Ghana,2025-12-07,172779,,1463,,Lower middle income,African Region,32833031,,5262.35302491567,44.5587859372472,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Georgia,2025-12-07,1864386,0,17151,,Upper middle income,European Region,3757980,,496113.86968531,4563.88804623761,0,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Spain,2025-12-07,13980340,,121852,,High income,European Region,47486935,,294403.923942449,2566.0110512502,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Guam,2025-12-07,52287,,419,,High income,Western Pacific Region,170534,,306607.480033307,2456.98804930395,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Gibraltar,2025-12-07,20550,,113,,High income,,32669,,629036.7014601,3458.93660656892,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,1310969,4286,0,0,,,,
Guinea,2025-12-07,38593,0,468,,Lower middle income,African Region,13531906,,2852.00030210083,34.5849283907234,0,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Ethiopia,2025-12-07,501324,0,7574,,,African Region,120283026,,4167.86987051689,62.968153129104,0,,18765230,113264,1,0,,,,,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Israel,2025-12-07,4841665,2,12707,,High income,European Region,8900059,,544003.697054143,1427.74334417334,0.224717611422576,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Gambia,2025-12-07,12627,,372,,Low income,African Region,2639916,,4783.1067352143,140.913574522826,,,1443768,35955,0,0,2010.10484475911,50.058818101879,0,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
